,target,feature,weight,,,,,Sno.,target,feature,weight
0,brazilian,cachaca,11.3825843,,,,,350,indian,curry,11.37629229
1,brazilian,manioc,7.689332985,,,,,351,indian,masala,8.404190316
2,brazilian,tapioca,7.152878505,,,,,352,indian,cardamom,8.099741894
3,brazilian,açai,7.103011569,,,,,353,indian,yogurt,7.171339975
4,brazilian,collard,6.627968778,,,,,354,indian,yoghurt,7.1116075
5,brazilian,stone,6.028037255,,,,,355,indian,cumin,6.569874078
6,brazilian,lime,5.823450484,,,,,356,indian,curd,6.458224432
7,brazilian,dende,5.768958683,,,,,357,indian,chilies,6.418303952
8,brazilian,cilantro,5.58460145,,,,,358,indian,tandoori,6.04449037
9,brazilian,coconut,5.454106481,,,,,359,indian,naan,5.683321197
10,brazilian,orange,4.832072328,,,,,360,indian,cauliflower,5.503478671
11,brazilian,bean,4.772884409,,,,,361,indian,ghee,5.345066914
12,brazilian,sprinkle,4.719719834,,,,,362,indian,paneer,5.322099703
13,brazilian,condensed,4.640905335,,,,,363,indian,chile,5.259756944
14,brazilian,piri,4.637466108,,,,,364,indian,chutney,5.054061042
15,brazilian,bay,4.503906132,,,,,365,indian,cilantro,4.625433973
16,brazilian,laurel,4.343856455,,,,,366,indian,wafer,4.361518294
17,brazilian,chia,4.318570403,,,,,367,indian,cardamon,4.348293035
18,brazilian,tomato,4.148584566,,,,,368,indian,garam,4.159154472
19,brazilian,chocolate,4.119802538,,,,,369,indian,chapati,4.054180566
20,brazilian,olive,4.110614836,,,,,370,indian,ginger,4.010215285
21,brazilian,meal,4.009177501,,,,,371,indian,oil,3.970106147
22,brazilian,milk,4.005824771,,,,,372,indian,pistachio,3.966007672
23,brazilian,margarine,3.969097323,,,,,373,indian,basmati,3.945780795
24,brazilian,alcohol,3.951199391,,,,,374,indian,chickpea,3.937394878
25,brazilian,vodka,3.922092597,,,,,375,indian,turmeric,3.823770076
26,brazilian,cheese,3.915426124,,,,,376,indian,tumeric,3.758481997
27,brazilian,avocado,3.850894013,,,,,377,indian,tamarind,3.71958367
28,brazilian,granola,3.844653017,,,,,378,indian,urad,3.69715364
29,brazilian,parmesan,3.815288795,,,,,379,indian,lentil,3.542269
30,brazilian,pizza,3.756614353,,,,,380,indian,salt,3.396339886
31,brazilian,shrimp,3.720124699,,,,,381,indian,assorted,3.341501182
32,brazilian,passion,3.711236981,,,,,382,indian,juice,3.306266219
33,brazilian,salsa,3.704245115,,,,,383,indian,maida,3.257709634
34,brazilian,palm,3.702952726,,,,,384,indian,pinenuts,-3.338399847
35,brazilian,heart,3.672969875,,,,,385,indian,dill,-3.345479474
36,brazilian,chevre,3.638899598,,,,,386,indian,vanilla,-3.358089579
37,brazilian,banana,3.630630214,,,,,387,indian,shiitake,-3.485828765
38,brazilian,table,3.574571105,,,,,388,indian,ham,-3.671493304
39,brazilian,parsley,3.493676846,,,,,389,indian,bay,-3.704375497
40,brazilian,arrow,3.484686985,,,,,390,indian,jalapeno,-3.719189195
41,brazilian,unsweetened,3.479718848,,,,,391,indian,oregano,-3.780707635
42,brazilian,pure,3.474942825,,,,,392,indian,bacon,-3.896738292
43,brazilian,pimento,3.445942347,,,,,393,indian,lemongrass,-3.942818192
44,brazilian,sunflower,3.432779958,,,,,394,indian,pork,-4.109679996
45,brazilian,sablefish,3.388687421,,,,,395,indian,grass,-4.173658211
46,brazilian,evaporated,-3.561696711,,,,,396,indian,avocado,-4.374697291
47,brazilian,cabbage,-3.671484017,,,,,397,indian,garlic,-4.376125643
48,brazilian,basil,-3.843391028,,,,,398,indian,orange,-4.789196771
49,brazilian,spray,-4.051324943,,,,,399,indian,egg,-6.503264241
50,british,stilton,10.99324654,,,,,,,,
51,british,cheddar,7.31524232,,,,,,,,
52,british,marmite,6.983662067,,,,,,,,
53,british,mincemeat,6.387512678,,,,,,,,
54,british,mustard,6.20470308,,,,,,,,
55,british,haddock,5.896578092,,,,,,,,
56,british,worcestershire,5.78878388,,,,,,,,
57,british,suet,5.501389186,,,,,,,,
58,british,currant,5.485286067,,,,,,,,
59,british,tumeric,5.293445263,,,,,,,,
60,british,sponge,5.269037229,,,,,,,,
61,british,malt,5.249584499,,,,,,,,
62,british,dripping,4.775740054,,,,,,,,
63,british,pound,4.716133428,,,,,,,,
64,british,jam,4.665288474,,,,,,,,
65,british,scotch,4.613852156,,,,,,,,
66,british,ale,4.567992312,,,,,,,,
67,british,kidney,4.548415993,,,,,,,,
68,british,toffee,4.528074714,,,,,,,,
69,british,double,4.516801472,,,,,,,,
70,british,gravy,4.418662902,,,,,,,,
71,british,date,4.388592582,,,,,,,,
72,british,fino,4.287285099,,,,,,,,
73,british,raspberry,4.261119612,,,,,,,,
74,british,graham,4.208776385,,,,,,,,
75,british,sage,4.206470811,,,,,,,,
76,british,rutabaga,4.130811458,,,,,,,,
77,british,beef,4.041704648,,,,,,,,
78,british,sausage,4.033658819,,,,,,,,
79,british,baked,4.009901361,,,,,,,,
80,british,strawberry,3.93249066,,,,,,,,
81,british,basmati,3.904323251,,,,,,,,
82,british,radish,3.880066705,,,,,,,,
83,british,crispy,3.797093079,,,,,,,,
84,british,range,3.785107837,,,,,,,,
85,british,oat,3.783437367,,,,,,,,
86,british,split,3.745692796,,,,,,,,
87,british,papaya,3.742248137,,,,,,,,
88,british,eating,3.729034887,,,,,,,,
89,british,banger,3.701469701,,,,,,,,
90,british,pickling,3.688296023,,,,,,,,
91,british,pectin,3.670767622,,,,,,,,
92,british,cod,3.665467983,,,,,,,,
93,british,green,-3.677194988,,,,,,,,
94,british,cheese,-3.708735117,,,,,,,,
95,british,coconut,-4.002708725,,,,,,,,
96,british,garlic,-4.141126945,,,,,,,,
97,british,cocoa,-4.716538242,,,,,,,,
98,british,evaporated,-4.737647834,,,,,,,,
99,british,chicken,-5.67126439,,,,,,,,
100,cajun_creole,cajun,12.53531523,,,,,,,,
101,cajun_creole,creole,10.08660643,,,,,,,,
102,cajun_creole,crawfish,8.567079574,,,,,,,,
103,cajun_creole,andouille,7.563319535,,,,,,,,
104,cajun_creole,celery,7.495175815,,,,,,,,
105,cajun_creole,pecan,7.06688958,,,,,,,,
106,cajun_creole,okra,6.330482301,,,,,,,,
107,cajun_creole,catfish,6.161477287,,,,,,,,
108,cajun_creole,shrimp,5.473734001,,,,,,,,
109,cajun_creole,thyme,5.179413766,,,,,,,,
110,cajun_creole,mortadella,5.167299978,,,,,,,,
111,cajun_creole,seasoning,5.059415949,,,,,,,,
112,cajun_creole,yeast,5.018503605,,,,,,,,
113,cajun_creole,cayenne,5.010993454,,,,,,,,
114,cajun_creole,evaporated,4.829857177,,,,,,,,
115,cajun_creole,oregano,4.741588211,,,,,,,,
116,cajun_creole,littleneck,4.606786993,,,,,,,,
117,cajun_creole,pepper,4.566279013,,,,,,,,
118,cajun_creole,blackening,4.541138844,,,,,,,,
119,cajun_creole,provolone,4.485788419,,,,,,,,
120,cajun_creole,sausage,4.353992667,,,,,,,,
121,cajun_creole,powdered,4.298786198,,,,,,,,
122,cajun_creole,sanding,4.291012295,,,,,,,,
123,cajun_creole,redfish,4.283506726,,,,,,,,
124,cajun_creole,jambalaya,4.252242059,,,,,,,,
125,cajun_creole,salami,4.200350927,,,,,,,,
126,cajun_creole,praline,4.18256249,,,,,,,,
127,cajun_creole,eyed,4.0523851,,,,,,,,
128,cajun_creole,dip,4.035481325,,,,,,,,
129,cajun_creole,chicory,4.031846279,,,,,,,,
130,cajun_creole,curaçao,4.016782647,,,,,,,,
131,cajun_creole,mirlitons,3.998508389,,,,,,,,
132,cajun_creole,bay,3.962217993,,,,,,,,
133,cajun_creole,husk,3.957310349,,,,,,,,
134,cajun_creole,boudin,3.903330666,,,,,,,,
135,cajun_creole,gin,3.891839793,,,,,,,,
136,cajun_creole,iron,3.784466601,,,,,,,,
137,cajun_creole,kidney,3.763873655,,,,,,,,
138,cajun_creole,tortellini,3.669543588,,,,,,,,
139,cajun_creole,lump,3.639366821,,,,,,,,
140,cajun_creole,pompano,3.630543406,,,,,,,,
141,cajun_creole,rum,3.625192994,,,,,,,,
142,cajun_creole,round,3.491470837,,,,,,,,
143,cajun_creole,worcestershire,3.479204869,,,,,,,,
144,cajun_creole,cucumber,-3.91668895,,,,,,,,
145,cajun_creole,vinegar,-3.980093264,,,,,,,,
146,cajun_creole,carrot,-3.986939353,,,,,,,,
147,cajun_creole,curry,-4.704914846,,,,,,,,
148,cajun_creole,ginger,-4.930156944,,,,,,,,
149,cajun_creole,soy,-5.70655666,,,,,,,,
150,chinese,soy,8.255396708,,,,,,,,
151,chinese,ginger,7.730192599,,,,,,,,
152,chinese,mandarin,7.637786633,,,,,,,,
153,chinese,szechwan,7.570745946,,,,,,,,
154,chinese,chinese,7.400499493,,,,,,,,
155,chinese,oil,7.106078193,,,,,,,,
156,chinese,hoisin,6.270642833,,,,,,,,
157,chinese,mein,5.917156679,,,,,,,,
158,chinese,duck,5.71931246,,,,,,,,
159,chinese,wrapper,5.471623536,,,,,,,,
160,chinese,shaoxing,5.414803147,,,,,,,,
161,chinese,custard,5.17451884,,,,,,,,
162,chinese,yardlong,5.150206143,,,,,,,,
163,chinese,five,5.028681932,,,,,,,,
164,chinese,evaporated,4.709636782,,,,,,,,
165,chinese,fermented,4.56333916,,,,,,,,
166,chinese,cornflour,4.520513569,,,,,,,,
167,chinese,key,4.28966816,,,,,,,,
168,chinese,oyster,4.243064868,,,,,,,,
169,chinese,head,4.135370249,,,,,,,,
170,chinese,purpos,4.130185467,,,,,,,,
171,chinese,char,4.015044199,,,,,,,,
172,chinese,corn,3.989811549,,,,,,,,
173,chinese,glutinous,3.938194792,,,,,,,,
174,chinese,maltose,3.867722885,,,,,,,,
175,chinese,satsuma,3.867593806,,,,,,,,
176,chinese,ramp,3.82653247,,,,,,,,
177,chinese,winter,3.798519932,,,,,,,,
178,chinese,siu,3.791662288,,,,,,,,
179,chinese,green,3.785900172,,,,,,,,
180,chinese,starch,3.764315899,,,,,,,,
181,chinese,tofu,3.728035651,,,,,,,,
182,chinese,scallion,3.709386354,,,,,,,,
183,chinese,powdered,3.611519437,,,,,,,,
184,chinese,essence,3.548300367,,,,,,,,
185,chinese,suckling,3.490429378,,,,,,,,
186,chinese,sesame,3.458464338,,,,,,,,
187,chinese,teriyaki,3.419038403,,,,,,,,
188,chinese,savoy,3.357663408,,,,,,,,
189,chinese,unflavored,3.347047273,,,,,,,,
190,chinese,salt,-3.390369589,,,,,,,,
191,chinese,nori,-3.466775708,,,,,,,,
192,chinese,crumb,-3.515150332,,,,,,,,
193,chinese,cumin,-3.777838218,,,,,,,,
194,chinese,strawberry,-3.930242978,,,,,,,,
195,chinese,calamansi,-4.32378708,,,,,,,,
196,chinese,bay,-4.609922536,,,,,,,,
197,chinese,olive,-5.12667139,,,,,,,,
198,chinese,cauliflower,-5.241347465,,,,,,,,
199,chinese,butter,-5.665287762,,,,,,,,
200,filipino,calamansi,9.442904006,,,,,,,,
201,filipino,soy,7.920382016,,,,,,,,
202,filipino,lumpia,6.367149311,,,,,,,,
203,filipino,peppercorn,6.327897142,,,,,,,,
204,filipino,garlic,5.96059908,,,,,,,,
205,filipino,coconut,5.761425413,,,,,,,,
206,filipino,dog,5.63350808,,,,,,,,
207,filipino,thai,5.318943682,,,,,,,,
208,filipino,glutinous,5.280541773,,,,,,,,
209,filipino,belly,5.277326299,,,,,,,,
210,filipino,tilapia,5.105751225,,,,,,,,
211,filipino,condensed,4.976437936,,,,,,,,
212,filipino,edam,4.722157648,,,,,,,,
213,filipino,fettucine,4.690323952,,,,,,,,
214,filipino,sprite,4.669786181,,,,,,,,
215,filipino,chayotes,4.667475123,,,,,,,,
216,filipino,empanada,4.656203063,,,,,,,,
217,filipino,annatto,4.616194551,,,,,,,,
218,filipino,evaporated,4.606822143,,,,,,,,
219,filipino,wrapper,4.595073258,,,,,,,,
220,filipino,strip,4.392511034,,,,,,,,
221,filipino,cantaloupe,4.196694054,,,,,,,,
222,filipino,eggplant,4.185898089,,,,,,,,
223,filipino,pearl,4.10146714,,,,,,,,
224,filipino,banana,4.062985648,,,,,,,,
225,filipino,sardine,4.053055058,,,,,,,,
226,filipino,noodle,3.990008793,,,,,,,,
227,filipino,mussel,3.986514918,,,,,,,,
228,filipino,oil,3.986252925,,,,,,,,
229,filipino,onion,3.964684358,,,,,,,,
230,filipino,rom,3.954375558,,,,,,,,
231,filipino,piece,3.949063537,,,,,,,,
232,filipino,fast,3.927673513,,,,,,,,
233,filipino,hoisin,3.898559988,,,,,,,,
234,filipino,adobo,3.842445783,,,,,,,,
235,filipino,base,3.825518381,,,,,,,,
236,filipino,romano,3.814463897,,,,,,,,
237,filipino,kangkong,3.751839978,,,,,,,,
238,filipino,patis,3.73944322,,,,,,,,
239,filipino,cooking,3.735251713,,,,,,,,
240,filipino,plantain,3.694203522,,,,,,,,
241,filipino,accent,3.693433845,,,,,,,,
242,filipino,olive,-3.684805474,,,,,,,,
243,filipino,pumpkin,-3.760141028,,,,,,,,
244,filipino,tea,-3.777584869,,,,,,,,
245,filipino,mint,-4.00201215,,,,,,,,
246,filipino,spray,-4.197275014,,,,,,,,
247,filipino,nutmeg,-4.198497705,,,,,,,,
248,filipino,basil,-4.447065842,,,,,,,,
249,filipino,wine,-4.545563425,,,,,,,,
250,french,gruyere,6.954833276,,,,,,,,
251,french,crepe,6.499187842,,,,,,,,
252,french,niçoise,5.994212692,,,,,,,,
253,french,duck,5.350519361,,,,,,,,
254,french,sole,5.240858632,,,,,,,,
255,french,brie,4.98735849,,,,,,,,
256,french,fully,4.949027272,,,,,,,,
257,french,swiss,4.934264298,,,,,,,,
258,french,calvados,4.901158555,,,,,,,,
259,french,gruyère,4.866331086,,,,,,,,
260,french,macadamia,4.863071145,,,,,,,,
261,french,mousse,4.850902553,,,,,,,,
262,french,roquefort,4.562885784,,,,,,,,
263,french,pearl,4.42310896,,,,,,,,
264,french,liver,4.309546417,,,,,,,,
265,french,burgundy,4.308233523,,,,,,,,
266,french,wine,4.160563731,,,,,,,,
267,french,cognac,4.022276092,,,,,,,,
268,french,tarragon,4.019054161,,,,,,,,
269,french,savory,3.90333173,,,,,,,,
270,french,lillet,3.750110462,,,,,,,,
271,french,snail,3.715998078,,,,,,,,
272,french,flageolet,3.696260147,,,,,,,,
273,french,lavender,3.681950476,,,,,,,,
274,french,olive,3.599290468,,,,,,,,
275,french,anchovy,3.576989407,,,,,,,,
276,french,starter,3.569971873,,,,,,,,
277,french,thyme,3.557265786,,,,,,,,
278,french,sauterne,3.515721961,,,,,,,,
279,french,barley,-3.597426278,,,,,,,,
280,french,stilton,-3.598932007,,,,,,,,
281,french,chile,-3.60172336,,,,,,,,
282,french,raisin,-3.723783373,,,,,,,,
283,french,jalapeno,-3.843478077,,,,,,,,
284,french,irish,-3.9156275,,,,,,,,
285,french,custard,-3.934774447,,,,,,,,
286,french,sweet,-3.963993513,,,,,,,,
287,french,cinnamon,-4.030200816,,,,,,,,
288,french,sesame,-4.137352618,,,,,,,,
289,french,condensed,-4.141617923,,,,,,,,
290,french,arborio,-4.216025064,,,,,,,,
291,french,cilantro,-4.387764243,,,,,,,,
292,french,grit,-4.593609165,,,,,,,,
293,french,soy,-4.739174873,,,,,,,,
294,french,chard,-4.754041284,,,,,,,,
295,french,oil,-5.483371167,,,,,,,,
296,french,soda,-5.593564389,,,,,,,,
297,french,powder,-5.598589042,,,,,,,,
298,french,chilies,-5.763339027,,,,,,,,
299,french,rice,-6.80226689,,,,,,,,
300,greek,feta,11.9111971,,,,,,,,
301,greek,phyllo,9.017320295,,,,,,,,
302,greek,greek,8.866276748,,,,,,,,
303,greek,oregano,8.82909751,,,,,,,,
304,greek,lamb,6.899642437,,,,,,,,
305,greek,olive,6.600287264,,,,,,,,
306,greek,ouzo,6.537193984,,,,,,,,
307,greek,dill,6.458496856,,,,,,,,
308,greek,yogurt,6.200296535,,,,,,,,
309,greek,pita,5.956322511,,,,,,,,
310,greek,tahini,5.891559016,,,,,,,,
311,greek,orzo,5.584322296,,,,,,,,
312,greek,lemon,5.318822992,,,,,,,,
313,greek,kalamata,5.275296562,,,,,,,,
314,greek,tzatziki,5.265217062,,,,,,,,
315,greek,sesame,4.763307707,,,,,,,,
316,greek,flatbread,4.53050468,,,,,,,,
317,greek,pasta,4.529181322,,,,,,,,
318,greek,kefalotyri,4.486753896,,,,,,,,
319,greek,cucumber,4.380860599,,,,,,,,
320,greek,tentacle,4.334914267,,,,,,,,
321,greek,caul,4.308917765,,,,,,,,
322,greek,kasseri,4.161524161,,,,,,,,
323,greek,tarama,4.139377995,,,,,,,,
324,greek,macaroni,4.132560408,,,,,,,,
325,greek,ricotta,4.009131316,,,,,,,,
326,greek,tomato,3.85273468,,,,,,,,
327,greek,garbanzo,3.810937507,,,,,,,,
328,greek,filo,3.734543305,,,,,,,,
329,greek,quince,3.628927173,,,,,,,,
330,greek,dried,3.581939276,,,,,,,,
331,greek,hummus,3.57754514,,,,,,,,
332,greek,poultry,3.527232718,,,,,,,,
333,greek,walnut,3.447503779,,,,,,,,
334,greek,navel,-3.332559542,,,,,,,,
335,greek,tortilla,-3.352815379,,,,,,,,
336,greek,assorted,-3.383912903,,,,,,,,
337,greek,green,-3.410500917,,,,,,,,
338,greek,lime,-3.543618811,,,,,,,,
339,greek,peanut,-3.587983137,,,,,,,,
340,greek,ice,-3.634836739,,,,,,,,
341,greek,sugar,-3.942519144,,,,,,,,
342,greek,cabbage,-3.972032379,,,,,,,,
343,greek,corn,-4.298987775,,,,,,,,
344,greek,chile,-4.337294482,,,,,,,,
345,greek,cheddar,-4.337509757,,,,,,,,
346,greek,carrot,-4.481740932,,,,,,,,
347,greek,salmon,-4.528566252,,,,,,,,
348,greek,ginger,-5.291602289,,,,,,,,
349,greek,cilantro,-6.260444573,,,,,,,,
350,indian,curry,11.37629229,,,,,,,,
351,indian,masala,8.404190316,,,,,,,,
352,indian,cardamom,8.099741894,,,,,,,,
353,indian,yogurt,7.171339975,,,,,,,,
354,indian,yoghurt,7.1116075,,,,,,,,
355,indian,cumin,6.569874078,,,,,,,,
356,indian,curd,6.458224432,,,,,,,,
357,indian,chilies,6.418303952,,,,,,,,
358,indian,tandoori,6.04449037,,,,,,,,
359,indian,naan,5.683321197,,,,,,,,
360,indian,cauliflower,5.503478671,,,,,,,,
361,indian,ghee,5.345066914,,,,,,,,
362,indian,paneer,5.322099703,,,,,,,,
363,indian,chile,5.259756944,,,,,,,,
364,indian,chutney,5.054061042,,,,,,,,
365,indian,cilantro,4.625433973,,,,,,,,
366,indian,wafer,4.361518294,,,,,,,,
367,indian,cardamon,4.348293035,,,,,,,,
368,indian,garam,4.159154472,,,,,,,,
369,indian,chapati,4.054180566,,,,,,,,
370,indian,ginger,4.010215285,,,,,,,,
371,indian,oil,3.970106147,,,,,,,,
372,indian,pistachio,3.966007672,,,,,,,,
373,indian,basmati,3.945780795,,,,,,,,
374,indian,chickpea,3.937394878,,,,,,,,
375,indian,turmeric,3.823770076,,,,,,,,
376,indian,tumeric,3.758481997,,,,,,,,
377,indian,tamarind,3.71958367,,,,,,,,
378,indian,urad,3.69715364,,,,,,,,
379,indian,lentil,3.542269,,,,,,,,
380,indian,salt,3.396339886,,,,,,,,
381,indian,assorted,3.341501182,,,,,,,,
382,indian,juice,3.306266219,,,,,,,,
383,indian,maida,3.257709634,,,,,,,,
384,indian,pinenuts,-3.338399847,,,,,,,,
385,indian,dill,-3.345479474,,,,,,,,
386,indian,vanilla,-3.358089579,,,,,,,,
387,indian,shiitake,-3.485828765,,,,,,,,
388,indian,ham,-3.671493304,,,,,,,,
389,indian,bay,-3.704375497,,,,,,,,
390,indian,jalapeno,-3.719189195,,,,,,,,
391,indian,oregano,-3.780707635,,,,,,,,
392,indian,bacon,-3.896738292,,,,,,,,
393,indian,lemongrass,-3.942818192,,,,,,,,
394,indian,pork,-4.109679996,,,,,,,,
395,indian,grass,-4.173658211,,,,,,,,
396,indian,avocado,-4.374697291,,,,,,,,
397,indian,garlic,-4.376125643,,,,,,,,
398,indian,orange,-4.789196771,,,,,,,,
399,indian,egg,-6.503264241,,,,,,,,
400,irish,irish,11.37276552,,,,,,,,
401,irish,corned,7.225303575,,,,,,,,
402,irish,potato,7.049209121,,,,,,,,
403,irish,stout,6.177610951,,,,,,,,
404,irish,guinness,6.164285859,,,,,,,,
405,irish,brisket,5.599254304,,,,,,,,
406,irish,lamb,5.233685168,,,,,,,,
407,irish,soda,5.114823026,,,,,,,,
408,irish,color,5.005916543,,,,,,,,
409,irish,buttermilk,4.892740314,,,,,,,,
410,irish,whiskey,4.757741037,,,,,,,,
411,irish,prime,4.666388291,,,,,,,,
412,irish,raisin,4.420002389,,,,,,,,
413,irish,currant,4.289070844,,,,,,,,
414,irish,beer,4.280526054,,,,,,,,
415,irish,menthe,4.248570018,,,,,,,,
416,irish,cabbage,4.201377195,,,,,,,,
417,irish,steel,4.142063434,,,,,,,,
418,irish,croissant,4.139304856,,,,,,,,
419,irish,lowfat,4.137165981,,,,,,,,
420,irish,spray,4.012021309,,,,,,,,
421,irish,oat,3.961552657,,,,,,,,
422,irish,bacon,3.933206122,,,,,,,,
423,irish,pudding,3.933058343,,,,,,,,
424,irish,pernod,3.696338171,,,,,,,,
425,irish,rutabaga,3.622935964,,,,,,,,
426,irish,cherry,3.619260426,,,,,,,,
427,irish,banger,3.604543065,,,,,,,,
428,irish,english,3.599015305,,,,,,,,
429,irish,butter,3.579275112,,,,,,,,
430,irish,malt,3.505066846,,,,,,,,
431,irish,dessert,3.498941131,,,,,,,,
432,irish,chip,3.491856936,,,,,,,,
433,irish,papaya,3.453632489,,,,,,,,
434,irish,cheddar,3.391580653,,,,,,,,
435,irish,rainbow,3.364339116,,,,,,,,
436,irish,decorating,3.352353816,,,,,,,,
437,irish,allspice,3.343798467,,,,,,,,
438,irish,rhubarb,3.315634875,,,,,,,,
439,irish,blood,3.300193061,,,,,,,,
440,irish,french,-3.292283618,,,,,,,,
441,irish,lime,-3.41161891,,,,,,,,
442,irish,canned,-3.534765486,,,,,,,,
443,irish,shrimp,-3.584027248,,,,,,,,
444,irish,sweet,-3.726316788,,,,,,,,
445,irish,chop,-3.9416743,,,,,,,,
446,irish,oil,-4.421600215,,,,,,,,
447,irish,curry,-4.590988537,,,,,,,,
448,irish,yeast,-4.75852,,,,,,,,
449,irish,rice,-5.419403647,,,,,,,,
450,italian,arborio,9.224386888,,,,,,,,
451,italian,spaghetti,8.167316008,,,,,,,,
452,italian,gnocchi,7.96683846,,,,,,,,
453,italian,mascarpone,7.330453536,,,,,,,,
454,italian,italian,7.32811606,,,,,,,,
455,italian,ricotta,6.532449043,,,,,,,,
456,italian,polenta,6.359475283,,,,,,,,
457,italian,marsala,6.35328678,,,,,,,,
458,italian,pasta,6.214383239,,,,,,,,
459,italian,olive,6.003616767,,,,,,,,
460,italian,grappa,5.965312827,,,,,,,,
461,italian,lasagna,5.908148356,,,,,,,,
462,italian,marinara,5.553836412,,,,,,,,
463,italian,breadstick,5.421513158,,,,,,,,
464,italian,fettucine,5.419214084,,,,,,,,
465,italian,pesto,5.27286073,,,,,,,,
466,italian,campari,5.257050015,,,,,,,,
467,italian,risotto,5.221801707,,,,,,,,
468,italian,orecchiette,5.156941488,,,,,,,,
469,italian,cannellini,5.116200187,,,,,,,,
470,italian,prosciutto,5.105246826,,,,,,,,
471,italian,pancetta,5.006516826,,,,,,,,
472,italian,ponzu,4.99170092,,,,,,,,
473,italian,basil,4.986959352,,,,,,,,
474,italian,parmesan,4.94841407,,,,,,,,
475,italian,mozzarella,4.913738402,,,,,,,,
476,italian,carnaroli,4.759791413,,,,,,,,
477,italian,oregano,4.708035246,,,,,,,,
478,italian,amaretti,4.68019119,,,,,,,,
479,italian,alfredo,4.662202333,,,,,,,,
480,italian,spaghettini,4.610059506,,,,,,,,
481,italian,balsamic,4.602532942,,,,,,,,
482,italian,gorgonzola,4.564015006,,,,,,,,
483,italian,amaretto,4.464060811,,,,,,,,
484,italian,linguine,4.427550743,,,,,,,,
